country,pl,plf,reg,ts,user
IT,33,Android,1511191920859,1586044805457,1122239prod-eu
IN,33,Android,1509074590554,1586045807421,147065prod-us
TR,33,iOS,1575420775882,1586047059117,25564086prod-eu
HK,12,Android,1584406076183,1586045087568,10123050prod-as
CN,21,Android,1581887511291,1586046421744,9893956prod-as
IN,20,iOS,1583350253973,1586074044409,24472040prod-in
US,33,iOS,1553399701371,1586047243513,9682362prod-us
CN,33,iOS,1581174682483,1586046035797,9816255prod-as
ID,4,Android,1585545118287,1586045921215,25227926prod-in
CN,5,iOS,1585697862030,1586050032019,10261900prod-as
CA,6,iOS,1585543868628,1586044832891,16301583prod-us
CN,24,iOS,1583947311356,1586054671726,10081665prod-as
IL,7,Android,1558654682919,1586078695716,20194232prod-eu
BY,4,Android,1585995080043,1586069651937,29013064prod-eu
HK,15,Android,1584213516668,1586048937622,10102686prod-as
IN,17,Android,1582260752979,1586063781477,24167181prod-in
IN,3,Android,1586056610949,1586056610955,25418878prod-in
MY,33,Android,1572624674170,1586047273084,20712243prod-in
ID,26,iOS,1583644299040,1586054431504,24558795prod-in
PH,5,Android,1585107473275,1586048192796,25048969prod-in
GB,6,Android,1585825019466,1586048105684,28964244prod-eu
LK,33,Android,1576917766818,1586046942137,22321861prod-in
MY,5,iOS,1585211350501,1586045919133,25094409prod-in
CN,27,iOS,1582454650487,1586044869743,9948227prod-as
IL,7,Android,1526516955025,1586088364999,12134757prod-eu
KZ,25,Android,1537114841634,1586071271921,14755831prod-eu
VN,21,Android,1580557202987,1586044878542,23657211prod-in
JP,13,Android,1584600136139,1586046194534,10149245prod-as
MY,6,Android,1585719991817,1586069274625,25294147prod-in
US,31,Android,1549644623030,1586084747716,9098429prod-us
CZ,3,Android,1512242240910,1586085088105,4610308prod-eu
RU,20,Android,1583492865589,1586044874564,28232799prod-eu
PS,3,Android,1586089397694,1586089397700,25434770prod-in
KG,20,Android,1580529469119,1586047499627,27442499prod-eu
CN,25,Android,1586064078109,1586064078136,10324373prod-as
RU,18,Android,1583329997439,1586082892362,28192321prod-eu
CN,24,Android,1564125447408,1586046360106,7886755prod-as
PH,18,Android,1585360553332,1586044847251,25154318prod-in
BD,11,Android,1585495726162,1586054816704,25213491prod-in
US,3,Android,1573927120429,1586085976845,13969184prod-us
BR,25,Android,1580910899564,1586045853860,15502043prod-us
CN,8,iOS,1563453756113,1586046790974,7814416prod-as
ID,25,Android,1512911178790,1586045147029,3692294prod-in
CN,4,iOS,1585972437238,1586051892921,10296865prod-as
MM,8,Android,1585388833140,1586059325384,16265768prod-us
EG,6,Android,1585840252641,1586065004359,25343874prod-in
DE,33,iOS,1575667542003,1586057955333,25647169prod-eu
TR,3,Android,1586076456220,1586076456247,29035336prod-eu
CN,6,Android,1585932554685,1586051273965,10287322prod-as
RU,6,Android,1513252851138,1586068997510,6320747prod-eu
CN,27,iOS,1583164992171,1586045548578,10012880prod-as
JM,3,Android,1586038856958,1586044817986,16393029prod-us
BR,3,Android,1586040886008,1586044843956,16393524prod-us
IN,14,iOS,1582736227685,1586067386055,24310434prod-in
VN,33,Android,1512299185402,1586060425017,2937979prod-in
CN,5,iOS,1531118376936,1586051220170,4673288prod-as
MY,15,Android,1526898600656,1586046874260,8267193prod-in
CN,6,iOS,1563723052766,1586048727753,7846882prod-as
CN,25,iOS,1580538113572,1586049337240,9727230prod-as
JP,30,Android,1582536369526,1586048818912,9955646prod-as
CN,1,Android,1585097654513,1586056669807,10206497prod-as
PH,4,Android,1564052706823,1586067611750,17290264prod-in
NL,3,iOS,1550075316280,1586071071531,17453068prod-eu
CN,3,iOS,1515937993509,1586045926691,2401913prod-as
TR,3,Android,1586039136418,1586046137314,29029676prod-eu
TW,23,iOS,1580539737229,1586048932373,9727473prod-as
IN,24,Android,1551200002292,1586053604562,12091544prod-in
US,4,Android,1585824143536,1586044968034,16354898prod-us
MM,4,Android,1561195504073,1586057594350,16246527prod-in
AR,2,Android,1586060510834,1586060510855,16398358prod-us
ID,11,Android,1585843500830,1586058589777,25345275prod-in
TR,15,iOS,1511564976764,1586078337854,2619861prod-eu
IR,3,Android,1586026637964,1586080454408,29025701prod-eu
RU,7,Android,1549388481434,1586079408963,17294702prod-eu
KZ,7,Android,1584991020565,1586062430719,28690306prod-eu
CN,8,iOS,1585768695735,1586055351326,10268348prod-as
PH,8,Android,1546248292127,1586046129183,11378844prod-in
IN,7,Android,1581262073172,1586048381205,23892037prod-in
HK,33,Android,1524487976355,1586045908588,4007277prod-as
DE,30,Android,1556831253734,1586046773337,19492897prod-eu
EG,4,Android,1585778288400,1586091492472,25318407prod-in
ID,29,Android,1522126883759,1586065106832,6900605prod-in
CN,18,iOS,1584300834315,1586055751851,10113005prod-as
ZA,9,Android,1585227574242,1586070802158,25103828prod-in
NG,5,Android,1585557390566,1586045141123,25233986prod-in
IR,8,Android,1585844238224,1586062399067,28972345prod-eu
CN,33,iOS,1571310091471,1586044891883,8753878prod-as
KR,10,Android,1584156037036,1586048979761,15998936prod-us
DE,23,iOS,1580602035386,1586054475422,27467722prod-eu
DE,4,iOS,1583883681921,1586046200035,28362920prod-eu
DE,6,Android,1584721445658,1586044829597,28605435prod-eu
CN,1,Android,1559403777883,1586049457293,7325089prod-as
PK,33,Android,1523787520500,1586064903121,7426531prod-in
JP,18,Android,1583202150085,1586045108221,10014666prod-as
CL,4,Android,1574651837733,1586061054168,14121728prod-us
TT,4,iOS,1575583302641,1586063227508,14323292prod-us
IN,12,Android,1583384969324,1586052335472,24478269prod-in
PK,7,Android,1585477199585,1586064259787,25203938prod-in
MY,3,Android,1586070252302,1586070252311,25425180prod-in
